"Matrix","Nrow","Ncol","IBRDepth","IBRSpkSep","IBRLisSep","SurprisalIBRDepth","SurprisalIBRSpkSep","SurprisalIBRLisSep"
"0001001111001111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001001111011101",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001001111011110",4,4,"3","FALSE","FALSE","3","FALSE","TRUE"
"0001001111011111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001001111101110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001001111101111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001001111111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001010010101100",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001010010101101",4,4,"3","FALSE","TRUE","4","TRUE","TRUE"
"0001010010111100",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001010010111101",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001010110101100",4,4,"5","TRUE","TRUE","4","TRUE","TRUE"
"0001010110101101",4,4,"3","FALSE","TRUE","3","TRUE","TRUE"
"0001010110111100",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001010110111101",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001011001101000",4,4,"2","FALSE","FALSE","2","FALSE","FALSE"
"0001011001101001",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011001101010",4,4,"3","TRUE","FALSE","3","FALSE","FALSE"
"0001011001101011",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011001101110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011001101111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011001111000",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001011001111001",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001011001111010",4,4,"5","TRUE","TRUE","3","FALSE","TRUE"
"0001011001111011",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001011001111110",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001011001111111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001011010001000",4,4,"2","FALSE","FALSE","2","FALSE","FALSE"
"0001011010001001",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001011010001010",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
"0001011010001011",4,4,"3","FALSE","TRUE","4","TRUE","TRUE"
"0001011010001110",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001011010001111",4,4,"2","FALSE","TRUE","2","FALSE","TRUE"
"0001011010011001",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001011010011010",4,4,"5","TRUE","TRUE","4","TRUE","TRUE"
"0001011010011011",4,4,"3","FALSE","TRUE","3","TRUE","TRUE"
"0001011010011110",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001011010011111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
