"Matrix","Nrow","Ncol","IBRDepth","IBRSpkSep","IBRLisSep"
"0000000001000110011111010",5,5,3,FALSE,TRUE
"0000000001000110011111011",5,5,3,FALSE,TRUE
"0000000001000110011111100",5,5,4,FALSE,TRUE
"0000000001000110011111101",5,5,3,FALSE,TRUE
"0000000001000110011111110",5,5,3,FALSE,TRUE
"0000000001000110011111111",5,5,3,FALSE,TRUE
"0000000001000110110010000",5,5,3,FALSE,TRUE
"0000000001000110110010001",5,5,3,FALSE,TRUE
"0000000001000110110010010",5,5,4,FALSE,TRUE
"0000000001000110110010011",5,5,3,FALSE,TRUE
"0000000001000110110010100",5,5,5,TRUE,TRUE
"0000000001000110110010101",5,5,3,FALSE,TRUE
"0000000001000110110010110",5,5,3,FALSE,TRUE
"0000000001000110110010111",5,5,3,FALSE,TRUE
"0000000001000110110011100",5,5,3,FALSE,TRUE
"0000000001000110110011101",5,5,3,FALSE,TRUE
"0000000001000110110011110",5,5,3,FALSE,TRUE
"0000000001000110110011111",5,5,3,FALSE,TRUE
"0000000001000110110110000",5,5,3,FALSE,TRUE
"0000000001000110110110001",5,5,3,FALSE,TRUE
"0000000001000110110110010",5,5,4,FALSE,TRUE
"0000000001000110110110011",5,5,3,FALSE,TRUE
"0000000001000110110110100",5,5,3,FALSE,TRUE
"0000000001000110110110101",5,5,5,TRUE,TRUE
"0000000001000110110110110",5,5,5,TRUE,TRUE
"0000000001000110110110111",5,5,3,FALSE,TRUE
"0000000001000110110111100",5,5,4,FALSE,TRUE
"0000000001000110110111101",5,5,3,FALSE,TRUE
"0000000001000110110111110",5,5,3,FALSE,TRUE
"0000000001000110110111111",5,5,3,FALSE,TRUE
"0000000001000110111010000",5,5,3,FALSE,TRUE
"0000000001000110111010001",5,5,3,FALSE,TRUE
"0000000001000110111010010",5,5,4,FALSE,TRUE
"0000000001000110111010011",5,5,3,FALSE,TRUE
"0000000001000110111010100",5,5,3,FALSE,TRUE
"0000000001000110111010101",5,5,5,TRUE,TRUE
"0000000001000110111010110",5,5,5,TRUE,TRUE
"0000000001000110111010111",5,5,3,FALSE,TRUE
"0000000001000110111011100",5,5,4,FALSE,TRUE
"0000000001000110111011101",5,5,3,FALSE,TRUE
"0000000001000110111011110",5,5,3,FALSE,TRUE
"0000000001000110111011111",5,5,3,FALSE,TRUE
"0000000001000110111110000",5,5,3,FALSE,TRUE
"0000000001000110111110001",5,5,3,FALSE,TRUE
"0000000001000110111110010",5,5,4,FALSE,TRUE
"0000000001000110111110011",5,5,3,FALSE,TRUE
"0000000001000110111110100",5,5,3,FALSE,TRUE
"0000000001000110111110101",5,5,3,FALSE,TRUE
"0000000001000110111110110",5,5,3,FALSE,TRUE
"0000000001000110111110111",5,5,5,TRUE,TRUE
"0000000001000110111111100",5,5,3,FALSE,TRUE
"0000000001000110111111101",5,5,4,FALSE,TRUE
"0000000001000110111111110",5,5,4,FALSE,TRUE
"0000000001000110111111111",5,5,3,FALSE,TRUE
"0000000001000111110011100",5,5,3,FALSE,FALSE
"0000000001000111110011101",5,5,3,FALSE,TRUE
"0000000001000111110011110",5,5,3,FALSE,TRUE
"0000000001000111110011111",5,5,3,FALSE,TRUE
"0000000001000111110111101",5,5,3,FALSE,FALSE
"0000000001000111110111110",5,5,3,FALSE,FALSE
"0000000001000111110111111",5,5,3,FALSE,TRUE
"0000000001000111111011110",5,5,3,FALSE,FALSE
"0000000001000111111011111",5,5,3,FALSE,TRUE
"0000000001000111111111111",5,5,3,FALSE,FALSE
"0000000001001001101011100",5,5,4,FALSE,TRUE
"0000000001001001101011101",5,5,3,FALSE,TRUE
"0000000001001001101111100",5,5,3,FALSE,TRUE
"0000000001001001101111101",5,5,4,FALSE,TRUE
"0000000001001011101011100",5,5,4,FALSE,TRUE
"0000000001001011101011101",5,5,3,FALSE,TRUE
"0000000001001011101111100",5,5,3,FALSE,TRUE
"0000000001001011101111101",5,5,4,FALSE,TRUE
"0000000001001100011011000",5,5,3,FALSE,FALSE
"0000000001001100011011001",5,5,3,FALSE,FALSE
"0000000001001100011011010",5,5,3,FALSE,FALSE
"0000000001001100011011011",5,5,3,FALSE,FALSE
"0000000001001100011011110",5,5,3,FALSE,FALSE
"0000000001001100011011111",5,5,3,FALSE,FALSE
"0000000001001100011111000",5,5,3,FALSE,TRUE
"0000000001001100011111001",5,5,3,FALSE,TRUE
"0000000001001100011111010",5,5,3,FALSE,TRUE
"0000000001001100011111011",5,5,3,FALSE,TRUE
"0000000001001100011111110",5,5,3,FALSE,TRUE
"0000000001001100011111111",5,5,3,FALSE,TRUE
"0000000001001100100010000",5,5,3,FALSE,TRUE
"0000000001001100100010001",5,5,3,FALSE,TRUE
"0000000001001100100010010",5,5,5,TRUE,TRUE
"0000000001001100100010011",5,5,3,FALSE,TRUE
"0000000001001100100010110",5,5,3,FALSE,TRUE
"0000000001001100100010111",5,5,3,FALSE,TRUE
"0000000001001100100011000",5,5,3,FALSE,TRUE
"0000000001001100100011001",5,5,3,FALSE,TRUE
"0000000001001100100011010",5,5,3,FALSE,TRUE
"0000000001001100100011011",5,5,3,FALSE,TRUE
"0000000001001100100011110",5,5,3,FALSE,TRUE
"0000000001001100100011111",5,5,3,FALSE,TRUE
"0000000001001100100110000",5,5,3,FALSE,TRUE
"0000000001001100100110001",5,5,3,FALSE,TRUE
"0000000001001100100110010",5,5,5,TRUE,TRUE
"0000000001001100100110011",5,5,3,FALSE,TRUE
"0000000001001100100110110",5,5,3,FALSE,TRUE
"0000000001001100100110111",5,5,3,FALSE,TRUE
"0000000001001100100111000",5,5,4,FALSE,TRUE
"0000000001001100100111001",5,5,3,FALSE,TRUE
"0000000001001100100111010",5,5,3,FALSE,TRUE
"0000000001001100100111011",5,5,3,FALSE,TRUE
"0000000001001100100111110",5,5,3,FALSE,TRUE
"0000000001001100100111111",5,5,3,FALSE,TRUE
"0000000001001100101010000",5,5,5,TRUE,TRUE
"0000000001001100101010001",5,5,5,TRUE,TRUE
"0000000001001100101010010",5,5,5,TRUE,TRUE
"0000000001001100101010011",5,5,5,TRUE,TRUE
"0000000001001100101010100",5,5,4,FALSE,TRUE
"0000000001001100101010101",5,5,5,TRUE,TRUE
"0000000001001100101010110",5,5,5,TRUE,TRUE
"0000000001001100101010111",5,5,5,TRUE,TRUE
